latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.2214413,-75.47659,1493.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2015-08-16,27.1,13.5,7.50
2015-08-17,27.8,14.9,13.80
2015-08-18,26.6,15.2,0.60
2015-08-19,28.8,15.3,0.00
2015-08-20,28.2,16.2,6.60
2015-08-21,25.8,15.9,5.90
2015-08-22,26.5,14.5,11.20
2015-08-23,26.1,15.1,6.70
2015-08-24,25.5,16.3,11.80
2015-08-25,24.3,14.5,7.60
2015-08-26,25.8,15.4,5.80
2015-08-27,26.6,15.4,7.30
2015-08-28,27.6,15.0,9.70
2015-08-29,28.8,15.2,0.00
2015-08-30,27.8,16.2,0.50
2015-08-31,27.5,15.3,8.50
2015-09-01,28.2,13.7,4.60
2015-09-02,27.0,15.4,1.50
2015-09-03,26.4,15.6,0.50
2015-09-04,27.5,15.8,0.00
2015-09-05,27.8,15.9,5.00
2015-09-06,27.9,16.2,4.80
2015-09-07,28.3,15.5,4.40
2015-09-08,27.3,16.3,0.70
2015-09-09,27.5,16.0,2.10
2015-09-10,24.1,16.1,5.30
2015-09-11,22.3,16.6,21.60
2015-09-12,28.6,13.6,0.00
2015-09-13,28.6,14.5,0.00
2015-09-14,28.3,14.9,0.00
2015-09-15,29.3,16.1,0.00
2015-09-16,28.1,14.3,0.30
2015-09-17,26.7,15.8,3.30
2015-09-18,23.7,16.3,5.60
2015-09-19,26.3,16.8,11.60
2015-09-20,26.4,16.3,8.60
2015-09-21,27.1,14.8,10.00
2015-09-22,24.1,15.5,0.40
2015-09-23,24.4,15.1,10.60
2015-09-24,26.7,15.7,0.50
2015-09-25,27.7,17.1,0.00
2015-09-26,27.6,16.5,0.00
2015-09-27,28.2,16.9,0.00
2015-09-28,29.7,16.0,0.00
2015-09-29,27.4,16.9,1.20
2015-09-30,25.5,15.9,4.90
2015-10-01,24.1,16.6,7.10
2015-10-02,25.9,15.5,0.40
2015-10-03,27.3,17.0,4.50
2015-10-04,27.8,16.4,1.50
2015-10-05,29.2,16.0,0.00
2015-10-06,28.6,17.2,0.00
2015-10-07,28.1,16.0,0.00
2015-10-08,27.1,17.4,0.10
2015-10-09,23.7,16.0,5.80
2015-10-10,25.7,16.3,4.50
2015-10-11,21.6,16.2,12.20
2015-10-12,25.8,16.8,11.40
2015-10-13,25.5,14.9,9.20
2015-10-14,20.6,17.3,35.70
2015-10-15,22.9,15.9,17.10
2015-10-16,23.7,15.9,11.80
2015-10-17,25.3,16.3,10.20
2015-10-18,26.7,14.9,2.90
2015-10-19,26.1,14.5,1.80
2015-10-20,26.1,14.4,7.80
2015-10-21,26.2,15.5,0.30
2015-10-22,25.8,15.6,3.90
2015-10-23,25.4,16.3,6.40
2015-10-24,22.4,17.1,16.90
2015-10-25,22.8,16.2,12.00
2015-10-26,22.8,16.0,12.50
2015-10-27,23.4,16.2,12.40
2015-10-28,25.1,15.2,9.30
2015-10-29,24.2,15.2,2.50
2015-10-30,24.8,15.2,8.00
2015-10-31,22.3,16.5,16.80
2015-11-01,20.9,16.1,21.70
2015-11-02,21.4,15.8,6.50
2015-11-03,23.6,15.9,1.90
2015-11-04,23.0,16.3,13.10
2015-11-05,23.7,16.4,9.60
2015-11-06,22.9,15.3,8.00
2015-11-07,23.9,15.0,9.00
2015-11-08,24.5,15.6,8.40
2015-11-09,23.3,15.7,5.20
2015-11-10,25.2,15.8,0.30
2015-11-11,24.2,15.6,2.60
2015-11-12,25.1,14.9,3.70
2015-11-13,24.8,15.5,3.70
2015-11-14,25.6,16.0,3.30
2015-11-15,23.0,15.8,3.60
2015-11-16,21.9,16.1,14.80
2015-11-17,22.4,16.0,21.70
2015-11-18,21.4,16.0,9.60
2015-11-19,23.8,15.0,3.50
2015-11-20,24.0,14.9,2.60
