latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.4094903,-76.4563,967.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2015-08-21,24.8,16.9,1.10
2015-08-22,24.8,16.5,5.80
2015-08-23,26.1,15.7,5.60
2015-08-24,25.6,17.4,2.40
2015-08-25,24.9,16.7,1.50
2015-08-26,24.6,15.7,1.00
2015-08-27,25.8,18.6,1.90
2015-08-28,27.0,17.3,0.60
2015-08-29,27.1,17.0,0.20
2015-08-30,27.1,16.6,0.00
2015-08-31,25.9,16.5,1.40
2015-09-01,27.4,16.0,1.40
2015-09-02,25.6,16.7,0.30
2015-09-03,24.7,17.2,5.10
2015-09-04,27.5,15.6,0.60
2015-09-05,26.3,17.7,0.90
2015-09-06,26.7,17.7,0.60
2015-09-07,26.9,19.2,2.40
2015-09-08,26.8,16.9,1.10
2015-09-09,24.9,17.4,8.30
2015-09-10,24.5,17.1,11.20
2015-09-11,24.6,17.5,8.00
2015-09-12,28.1,13.1,0.00
2015-09-13,27.5,17.2,0.00
2015-09-14,27.9,15.9,0.00
2015-09-15,27.9,16.1,0.30
2015-09-16,27.2,18.5,4.40
2015-09-17,25.4,19.0,37.30
2015-09-18,24.4,19.5,3.20
2015-09-19,27.1,18.6,6.10
2015-09-20,26.7,19.8,1.40
2015-09-21,26.2,19.0,4.30
2015-09-22,26.0,18.9,2.50
2015-09-23,25.6,18.3,1.30
2015-09-24,26.6,17.5,0.90
2015-09-25,26.6,17.1,0.20
2015-09-26,26.4,16.5,0.20
2015-09-27,27.3,15.5,2.00
2015-09-28,26.6,18.1,0.00
2015-09-29,24.9,17.6,4.80
2015-09-30,24.3,18.4,24.30
2015-10-01,24.3,18.1,12.80
2015-10-02,25.7,18.8,0.90
2015-10-03,25.5,19.4,0.10
2015-10-04,27.8,17.1,0.00
2015-10-05,28.5,16.3,0.00
2015-10-06,27.4,17.3,2.90
2015-10-07,25.4,17.4,5.90
2015-10-08,26.0,19.6,9.20
2015-10-09,26.0,19.2,4.30
2015-10-10,24.6,19.5,13.30
2015-10-11,24.6,19.4,20.40
2015-10-12,25.7,18.8,7.00
2015-10-13,23.8,19.5,43.00
2015-10-14,25.2,19.8,15.20
2015-10-15,24.6,19.6,13.70
2015-10-16,23.8,19.4,28.90
2015-10-17,26.3,18.6,6.60
2015-10-18,25.0,19.3,22.70
2015-10-19,26.4,17.3,3.60
2015-10-20,24.8,17.8,1.60
2015-10-21,26.0,16.2,0.20
2015-10-22,25.5,17.6,2.50
2015-10-23,25.3,18.5,1.00
2015-10-24,24.2,19.3,8.60
2015-10-25,24.1,18.8,15.40
2015-10-26,23.0,18.8,16.70
2015-10-27,22.6,18.8,39.30
2015-10-28,25.4,16.0,13.60
2015-10-29,24.7,18.5,0.60
2015-10-30,23.5,19.2,16.80
2015-10-31,22.0,18.5,8.80
2015-11-01,21.3,17.8,31.10
2015-11-02,22.1,17.4,13.50
2015-11-03,24.8,17.3,10.60
2015-11-04,24.1,18.7,9.40
2015-11-05,22.7,18.6,14.00
2015-11-06,24.9,18.4,9.30
2015-11-07,21.3,19.6,29.20
2015-11-08,25.0,17.7,0.20
2015-11-09,24.3,18.3,2.60
2015-11-10,25.4,17.2,3.20
2015-11-11,25.5,16.3,1.90
2015-11-12,25.3,16.4,1.90
2015-11-13,24.4,18.8,9.80
2015-11-14,26.7,18.3,1.40
2015-11-15,24.4,19.8,8.50
2015-11-16,24.8,19.1,13.50
2015-11-17,21.7,19.1,53.90
2015-11-18,24.9,18.1,2.50
2015-11-19,24.0,18.0,10.10
2015-11-20,25.7,17.9,5.20
2015-11-21,23.3,20.1,21.80
2015-11-22,24.4,20.4,9.30
2015-11-23,25.6,19.2,5.00
2015-11-24,23.1,19.1,42.70
2015-11-25,25.9,18.1,2.30
2015-11-26,25.1,20.1,1.40
2015-11-27,25.5,18.8,2.20
